id,name,post_code,city,street,us_code
us_2804,Urząd Skarbowy w Działdowie,13-200,Działdowo,Marii Skłodowskiej-Curie 35A,2804
us_2805,Urząd Skarbowy w Elblągu,82-300,Elbląg,Adama Mickiewicza 43 ,2805
us_2806,Urząd Skarbowy w Ełku,19-300,Ełk,Wojska Polskiego 67 ,2806
us_2807,Urząd Skarbowy w Giżycku,11-500,Giżycko,I Dywizji im. T. Kościuszki 15 ,2807
us_2808,Urząd Skarbowy w Iławie,14-200,Iława,Wojska Polskiego 26 ,2808
us_2809,Urząd Skarbowy w Kętrzynie,11-400,Kętrzyn,Powstańców Warszawy 13 ,2809
us_2810,Urząd Skarbowy w Nidzicy,13-100 ,Nidzica,Stefana Żeromskiego 11,2810
us_2811,Urząd Skarbowy w Nowym Mieście Lubawskim,13-300 ,Nowe Miasto Lubawskie,Działyńskich 3,2811
us_2812,Urząd Skarbowy w Olecku,19-400 ,Olecko,Wojska Polskiego 7,2812
us_2813,Urząd Skarbowy w Olsztynie,10-950,Olsztyn,Al. Marszałka J. Piłsudskiego 59,2813
us_2814,Urząd Skarbowy w Ostródzie,14-100,Ostróda,Olsztyńska 5 B ,2814
us_2815,Urząd Skarbowy w Piszu,12-200,Pisz,Okopowa 2 ,2815
us_2816,Urząd Skarbowy w Szczytnie,12-100,Szczytno,Warszawska 5 ,2816
us_2871,Warmińsko Mazurski Urząd Skarbowy w Olsztynie,10-408 ,Olsztyn,Lubelska 37,2871
us_3001(1),Biuro Wymiany Informacji Podatkowych w Koninie,62-510,Konin,Poznańska 46,3001
us_3001(2),Izba Skarbowa w Poznaniu,61-726,Poznań,Plac Cyryla Ratajskiego 5,3001
us_3002,Urząd Skarbowy w Czarnkowie,64-700,Czarnków,Pocztowa 4,3002
us_3003,Urząd Skarbowy w Gnieźnie,62-200,Gniezno,Spichrzowa 4,3003
us_3004,Urząd Skarbowy w Gostyniu,63-800,Gostyń,Lipowa 2,3004
us_3005,Urząd Skarbowy w Grodzisku Wielkopolskim,62-065,Grodzisk Wielkopolski,Chopina 7,3005
us_3006,Urząd Skarbowy w Jarocinie,63-200,Jarocin,Tadeusza Kościuszki 21,3006
us_3007,Pierwszy Urząd Skarbowy w Kaliszu,62-800,Kalisz,Wrocławska 12,3007
us_3008,Drugi Urząd Skarbowy w Kaliszu,62-800,Kalisz,Targowa 1,3008
us_3009,Urząd Skarbowy w Kępnie,63-600,Kępno,Rynek 4,3009
us_3010,Urząd Skarbowy w Kole,62-600,Koło,Bolesława Prusa 10,3010
us_3011,Urząd Skarbowy w Koninie,62-510,Konin,Zakładowa 7a,3011
us_3012,Urząd Skarbowy w Kościanie,64-000,Kościan,Młyńska 5,3012
us_3013,Urząd Skarbowy w Krotoszynie,63-700,Krotoszyn,Polna 32,3013
us_3014,Urząd Skarbowy w Lesznie,64-100,Leszno,Adama Mickiewicza 7,3014
us_3015,Urząd Skarbowy w Międzychodzie,64-400,Międzychód,Marszałka Piłsudskiego 2,3015
us_3016,Urząd Skarbowy w Nowym Tomyślu,64-300,Nowy Tomyśl,Kolejowa 38,3016
us_3017,Urząd Skarbowy w Ostrowie Wielkopolskim,63-400,Ostrów Wielkopolski,Chłapowskiego 45,3017
us_3018,Urząd Skarbowy w Ostrzeszowie,63-500,Ostrzeszów,Władysława Grabskiego 1,3018
us_3019,Urząd Skarbowy w Pile,64-920,Piła,Kossaka 106,3019
us_3020,Urząd Skarbowy Poznań - Grunwald,60-179,Poznań,Mariana Smoluchowskiego 1,3020
us_3021,Urząd Skarbowy Poznań - Jeżyce,60-823,Poznań,Juliusza Słowackiego 22,3021
us_3022,Urząd Skarbowy Poznań - Nowe Miasto,61-055,Poznań,Warszawska 183/185,3022
us_3023,Pierwszy Urząd Skarbowy w Poznaniu,60-965,Poznań,Dezyderego Chłapowskiego 17/18,3023
us_3025,Urząd Skarbowy Poznań - Winogrady,60-685,Poznań,Zygmunta Wojciechowskiego 3/5,3025
us_3026,Urząd Skarbowy Poznań - Wilda,61-558,Poznań,Wierzbięcice 45,3026
us_3027,Urząd Skarbowy w Rawiczu,63-900,Rawicz,Stanisława Staszica 4,3027
us_3028,Urząd Skarbowy w Słupcy,62-400,Słupca,Wspólna 1,3028
us_3029,Urząd Skarbowy w Szamotułach,64-500,Szamotuły,Bolesława Chrobrego 17a,3029
us_3030,Urząd Skarbowy w Śremie,63-100,Śrem,Wojska Polskiego 12,3030
us_3031,Urząd Skarbowy w Środzie Wielkopolskiej,63-000,Środa Wielkopolska,Harcerska 2,3031
us_3032,Urząd Skarbowy w Turku,62-700,Turek,Konińska 1,3032
us_3033,Urząd Skarbowy w Wągrowcu,62-100,Wągrowiec,Tadeusza Kościuszki 19a,3033
us_3034,Urząd Skarbowy w Wolsztynie,64-200,Wolsztyn,Dworcowa 15,3034
us_3035,Urząd Skarbowy we Wrześni,62-300,Września,Warszawska 26,3035
us_3036,Urząd Skarbowy w Złotowie,77-400,Złotów,Aleja Piasta 25,3036
us_3037,Urząd Skarbowy w Chodzieży,64-800,Chodzież,Ofiar Gór Morzewskich 1,3037
us_3038,Urząd Skarbowy w Obornikach,64-600,Oborniki,Rynek 4,3038
us_3039,Urząd Skarbowy w Pleszewie,63-300,Pleszew,Bogusza 6,3039
us_3050,Biuro Krajowej Informacji Podatkowej w Lesznie,64-100,Leszno,Dekana 6,3050
us_3071,Pierwszy Wielkopolski Urząd Skarbowy w Poznaniu,60-818,Poznań,Henryka Sienkiewicza 22,3071
us_3072,Drugi Wielkopolski Urząd Skarbowy w Kaliszu,62-800,Kalisz,Fabryczna 1A,3072
us_3201,Izba Skarbowa w Szczecinie,70-525,Szczecin,"Franklina Delano Roosevelta 1,2",3201
us_3203,Urząd Skarbowy w Choszcznie,73-200,Choszczno,22 Lipca 16,3203
us_3204,Urząd Skarbowy w Drawsku Pomorskim,78-500,Drawsko Pomorskie,Józefa Piłsudskiego 35-37,3204
us_3205,Urząd Skarbowy w Goleniowie,72-100,Goleniów,Plac Lotników 1,3205
us_3206,Urząd Skarbowy w Gryficach,72-300,Gryfice,Niepodległości 54A,3206
us_3207,Urząd Skarbowy w Gryfinie,74-100,Gryfino,Szczecińska 24,3207
us_3208,Urząd Skarbowy w Kamieniu Pomorskim,72-400,Kamień Pomorski,Mieszka I 5B,3208
us_3210,Pierwszy Urząd Skarbowy w Koszalinie,75-216,Koszalin,Przemysłowa 3,3210
us_3211,Drugi Urząd Skarbowy w Koszalinie,75-549,Koszalin,Stanisława Moniuszki 15,3211
us_3212,Urząd Skarbowy w Myśliborzu,74-300,Myślibórz,Felczaka 18,3212
us_3214,Urząd Skarbowy w Stargardzie,73-110,Stargard,Towarowa 15,3214
us_3216,Drugi Urząd Skarbowy w Szczecinie,71-417,Szczecin,Felczaka 19,3216
us_3219,Urząd Skarbowy w Świnoujściu,72-600,Świnoujście,Kazimierza Pułaskiego 7,3219
us_3220,Urząd Skarbowy w Wałczu,78-600,Wałcz,Tadeusza Kościuszki 4,3220
us_3271,Zachodniopomorski Urząd Skarbowy w Szczecinie,71-011,Szczecin,Mieszka I 33,3271
